tweet_id,timestamp_x,source,text,expanded_urls,rating_numerator,rating_denominator,name,stage,jpg_url,img_num,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,timestamp_y,favorite_count,retweet_count,Timestamp
892420643555336193,2017-08-01 16:23:56+00:00,Twitter for iPhone,This Is Phineas. He'S A Mystical Boy. Only Ever Appears In The Hole Of A Donut. 13/10 Https://T.Co/Mguwq76Dju,https://twitter.com/dog_rates/status/892420643555336193/photo/1,13,10,Phineas,unknown,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,1,Orange,0.0970486,False,Bagel,0.0858511,0,Banana,0.07611,False,2017-08-01 16:23:56,39467,8853,2017-08-01
892177421306343426,2017-08-01 00:17:27+00:00,Twitter for iPhone,"This Is Tilly. She'S Just Checking Pup On You. Hopes You'Re Doing Ok. If Not, She'S Available For Pats, Snugs, Boops, The Whole Bit. 13/10 Https://T.Co/0Xxu71Qeiv",https://twitter.com/dog_rates/status/892177421306343426/photo/1,13,10,Tilly,unknown,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1,Chihuahua,0.323581,True,Pekinese,0.0906465,1,Papillon,0.0689569,True,2017-08-01 00:17:27,33819,6514,2017-08-01
891815181378084864,2017-07-31 00:18:03+00:00,Twitter for iPhone,This Is Archie. He Is A Rare Norwegian Pouncing Corgo. Lives In The Tall Grass. You Never Know When One May Strike. 12/10 Https://T.Co/Wunznhtvjb,https://twitter.com/dog_rates/status/891815181378084864/photo/1,12,10,Archie,unknown,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1,Chihuahua,0.716012,True,Malamute,0.078253,1,Kelpie,0.0313789,True,2017-07-31 00:18:03,25461,4328,2017-07-31
891689557279858688,2017-07-30 15:58:51+00:00,Twitter for iPhone,This Is Darla. She Commenced A Snooze Mid Meal. 13/10 Happens To The Best Of Us Https://T.Co/Td36Da7Qlq,https://twitter.com/dog_rates/status/891689557279858688/photo/1,13,10,Darla,unknown,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1,Paper_towel,0.1702779999999999,False,Labrador_retriever,0.1680859999999999,1,Spatula,0.0408359,False,2017-07-30 15:58:51,42908,8964,2017-07-30
891327558926688256,2017-07-29 16:00:24+00:00,Twitter for iPhone,"This Is Franklin. He Would Like You To Stop Calling Him ""Cute."" He Is A Very Fierce Shark And Should Be Respected As Such. 12/10 #Barkweek Https://T.Co/Atuzn91F7F","https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1",12,10,Franklin,unknown,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2,Basset,0.555712,True,English_springer,0.2257699999999999,1,German_short-haired_pointer,0.175219,True,2017-07-29 16:00:24,41048,9774,2017-07-29
891087950875897856,2017-07-29 00:08:17+00:00,Twitter for iPhone,Here We Have A Majestic Great White Breaching Off South Africa'S Coast. Absolutely H*Ckin Breathtaking. 13/10 (Ig: Tucker_Marlo) #Barkweek Https://T.Co/Kq04Fddrmh,https://twitter.com/dog_rates/status/891087950875897856/photo/1,13,10,,unknown,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1,Chesapeake_bay_retriever,0.425595,True,Irish_terrier,0.116317,1,Indian_elephant,0.0769021999999999,False,2017-07-29 00:08:17,20562,3261,2017-07-29
890971913173991426,2017-07-28 16:27:12+00:00,Twitter for iPhone,"Meet Jax. He Enjoys Ice Cream So Much He Gets Nervous Around It. 13/10 Help Jax Enjoy More Things By Clicking Below

Https://T.Co/Zr4Hwfas1H Https://T.Co/Tvjbrmnhxl","https://gofundme.com/ydvmve-surgery-for-jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1",13,10,Jax,unknown,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1,Appenzeller,0.341703,True,Border_collie,0.199287,1,Ice_lolly,0.193548,False,2017-07-28 16:27:12,12041,2158,2017-07-28
890729181411237888,2017-07-28 00:22:40+00:00,Twitter for iPhone,When You Watch Your Owner Call Another Dog A Good Boy But Then They Turn Back To You And Say You'Re A Great Boy. 13/10 Https://T.Co/V0Nonbcwxq,"https://twitter.com/dog_rates/status/890729181411237888/photo/1,https://twitter.com/dog_rates/status/890729181411237888/photo/1",13,10,,unknown,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2,Pomeranian,0.566142,True,Eskimo_dog,0.1784059999999999,1,Pembroke,0.0765069,True,2017-07-28 00:22:40,56848,16716,2017-07-28
890609185150312448,2017-07-27 16:25:51+00:00,Twitter for iPhone,This Is Zoey. She Doesn'T Want To Be One Of The Scary Sharks. Just Wants To Be A Snuggly Pettable Boatpet. 13/10 #Barkweek Https://T.Co/9Twluagh0B,https://twitter.com/dog_rates/status/890609185150312448/photo/1,13,10,Zoey,unknown,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1,Irish_terrier,0.4875739999999999,True,Irish_setter,0.193054,1,Chesapeake_bay_retriever,0.118184,True,2017-07-27 16:25:51,28226,4429,2017-07-27
890240255349198849,2017-07-26 15:59:51+00:00,Twitter for iPhone,This Is Cassie. She Is A College Pup. Studying International Doggo Communication And Stick Theory. 14/10 So Elegant Much Sophisticate Https://T.Co/T1Bfwz5S2A,https://twitter.com/dog_rates/status/890240255349198849/photo/1,14,10,Cassie,doggo,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1,Pembroke,0.511319,True,Cardigan,0.451038,1,Chihuahua,0.0292482,True,2017-07-26 15:59:51,32467,7711,2017-07-26
